ticker,date,latest_price,rolling_volatility_20,rsi_14,sma_20,sma_50
IMOEX.ME,2024-06-13 21:00:00,3215.909912109375,0.20000475669274387,39.78068330306006,3290.382458496094,3383.643193359375
^AEX,2024-12-29 23:00:00,871.7999877929688,0.08507629225914372,40.016361829028554,886.8649932861329,882.4567956542969
^DJI,2024-12-30 05:00:00,42573.73046875,0.12292287115801646,37.37892537676803,43711.1384765625,43464.46078125
^FCHI,2024-12-29 23:00:00,7313.56005859375,0.10477124170365516,48.07201701604971,7340.856982421875,7351.389560546875
^FTSE,2024-12-30 00:00:00,8121.0,0.07575463230942918,40.202246550068836,8242.819946289062,8208.637958984375
^GDAXI,2024-12-29 23:00:00,19909.140625,0.10636050463699499,50.031205359072786,20114.2080078125,19619.1805078125
^GSPC,2024-12-30 05:00:00,5906.93994140625,0.14697353672779484,43.084035855040995,6017.372485351562,5942.131591796875
^HSI,2024-12-29 16:00:00,20041.419921875,0.17179668460950684,52.906670796219736,19904.235546875,20040.430234375
^IBEX,2024-12-29 23:00:00,11536.7998046875,0.1322565084739799,43.14938978871146,11726.27490234375,11699.82791015625
^IXIC,2024-12-30 05:00:00,19486.7890625,0.19814461671117167,48.5795148047628,19755.72939453125,19182.888046875
^JKSE,2024-12-29 17:00:00,7079.90478515625,0.17531690874108805,41.38735309919676,7210.94677734375,7342.6198046875
^KLSE,2024-12-29 16:00:00,1637.6800537109375,0.06577090946599186,67.34056076980953,1607.690985107422,1610.5856005859375
^KS11,2024-12-29 15:00:00,2399.489990234375,0.21942551508925734,40.866829548890856,2443.6425048828123,2495.6122021484375
^N100,2024-12-29 23:00:00,1443.2099609375,0.08168433724224587,45.99143813921016,1453.181494140625,1452.9061962890626
^N225,2024-12-29 15:00:00,39894.5390625,0.1380715817070185,59.18424921799138,39336.182421875,38910.913984375
^NSEI,2024-12-29 18:30:00,23644.900390625,0.1122705987710967,37.40339094958178,24260.330078125,24197.1740625
^NYA,2024-12-30 05:00:00,19077.9296875,0.11614122092761828,32.96007946305022,19628.49541015625,19700.1506640625
^RUT,2024-12-30 05:00:00,2227.780029296875,0.19874682973095478,36.29663853547419,2330.0630126953124,2321.1614111328126
^SSMI,2024-12-29 23:00:00,11600.900390625,0.1070272878657519,45.52970832488472,11677.4044921875,11804.26794921875
^STI,2024-12-29 16:00:00,3795.72998046875,0.09080020708486193,57.566343828446975,3785.5624877929686,3715.9555908203124
^STOXX50E,2024-12-29 23:00:00,4869.27978515625,0.10390713210791803,47.25391393264385,4908.79794921875,4871.170771484375
^TWII,2024-12-29 16:00:00,23190.19921875,0.14764226766260571,54.14426745966526,23097.0025390625,23010.0977734375
^VIX,2024-12-30 06:00:00,17.399999618530273,2.504130283409683,52.20666850653706,15.792000102996827,16.683200092315673
^XAX,2024-12-30 05:00:00,4651.10986328125,0.23639836036163983,29.30493329247085,4940.4609375,5130.961181640625
