ticker,date,open,high,low,close,adj_close,volume,daily_return,log_return,sma_20,sma_50,ema_20,rolling_volatility_20,rsi_14
IMOEX.ME,2015-01-04 21:00:00,1394.6600341796875,1438.8599853515625,1390.6199951171875,1435.6600341796875,1435.6600341796875,0,,,1435.6600341796875,1435.6600341796875,1435.6600341796875,,
IMOEX.ME,2015-01-05 21:00:00,1435.3900146484375,1481.300048828125,1430.68994140625,1480.72998046875,1480.72998046875,0,0.031393188649160075,0.03091049862722583,1458.1950073242188,1458.1950073242188,1439.9524100167412,,
IMOEX.ME,2015-01-07 21:00:00,1482.1199951171875,1564.760009765625,1482.1199951171875,1547.3900146484375,1547.3900146484375,0,0.04501835922751107,0.04403445390121418,1487.9266764322917,1487.9266764322917,1450.1845628388076,,
IMOEX.ME,2015-01-08 21:00:00,1547.6099853515625,1557.8299560546875,1496.1800537109375,1515.3699951171875,1515.3699951171875,0,-0.02069292113050425,-0.020910019782079698,1494.7875061035156,1494.7875061035156,1456.3926992462723,,
IMOEX.ME,2015-01-11 21:00:00,1515.22998046875,1534.489990234375,1503.5999755859375,1513.219970703125,1513.219970703125,0,-0.0014188115252316003,-0.001419818991352783,1498.4739990234375,1498.4739990234375,1461.8048203374012,,
IMOEX.ME,2015-01-12 21:00:00,1513.2099609375,1543.5799560546875,1499.5699462890625,1533.0899658203125,1533.0899658203125,0,0.01313093634890028,0.013045472934338718,1504.2433268229167,1504.2433268229167,1468.5938818119641,0.4079515882624393,
IMOEX.ME,2015-01-13 21:00:00,1531.6500244140625,1559.989990234375,1524.8199462890625,1554.4599609375,1554.4599609375,0,0.013939165733012349,0.013842909023116986,1511.4171316964287,1511.4171316964287,1476.7716036334436,0.3649120690455576,
IMOEX.ME,2015-01-14 21:00:00,1556.9599609375,1586.1099853515625,1555.3599853515625,1563.2099609375,1563.2099609375,0,0.005628964540664638,0.005613181121601791,1517.8912353515625,1517.8912353515625,1485.0038281385919,0.3362547024274197,
IMOEX.ME,2015-01-15 21:00:00,1563.2099609375,1594.06005859375,1553.739990234375,1591.4300537109375,1591.4300537109375,0,0.01805265669911238,0.017891642428241285,1526.0622151692708,1526.0622151692708,1495.139659145482,0.3129692716081495,
IMOEX.ME,2015-01-18 21:00:00,1590.5400390625,1627.280029296875,1573.0899658203125,1576.4000244140625,1576.4000244140625,0,-0.009444354316312964,-0.009489235033662323,1531.09599609375,1531.09599609375,1502.8787415520135,0.31577175142712766,
IMOEX.ME,2015-01-19 21:00:00,1576.469970703125,1594.8599853515625,1561.8299560546875,1570.969970703125,1570.969970703125,0,-0.00344459123752916,-0.0034505375008171343,1534.7209028764205,1534.7209028764205,1509.363620518786,0.30571349069377723,
IMOEX.ME,2015-01-20 21:00:00,1570.5899658203125,1619.02001953125,1570.5899658203125,1618.1700439453125,1618.1700439453125,0,0.030045178534547023,0.029602663934506307,1541.6749979654949,1541.6749979654949,1519.7261370355982,0.30632076541772957,
IMOEX.ME,2015-01-21 21:00:00,1618.6800537109375,1676.3699951171875,1618.5400390625,1666.56005859375,1666.56005859375,0,0.029904159225724092,0.029465748616776647,1551.2815410907451,1551.2815410907451,1533.7103200411364,0.3042315679496914,
IMOEX.ME,2015-01-22 21:00:00,1667.989990234375,1700.77001953125,1662.1199951171875,1671.800048828125,1671.800048828125,0,0.0031441952585833377,0.0031392626134330434,1559.8900059291295,1559.8900059291295,1546.8617227827544,0.2941365706806862,
IMOEX.ME,2015-01-25 21:00:00,1670.22998046875,1670.300048828125,1622.1400146484375,1642.3699951171875,1642.3699951171875,0,-0.017603811969958305,-0.01776060185936698,1565.388671875,1565.388671875,1555.9577487193671,0.30902797231325113,87.07841173902995
IMOEX.ME,2015-01-26 21:00:00,1642.31005859375,1681.43994140625,1614.9200439453125,1673.9200439453125,1673.9200439453125,0,0.0192100738091443,0.019027889822574726,1572.1718826293945,1572.1718826293945,1567.1922530266002,0.3002792637160417,87.97280536029994
IMOEX.ME,2015-01-27 21:00:00,1675.300048828125,1706.2900390625,1643.4200439453125,1647.7099609375,1647.7099609375,0,-0.01565790618411922,-0.015781786031386143,1576.6152990004596,1576.6152990004596,1574.8606061609717,0.30792567931593406,82.842768975251
IMOEX.ME,2015-01-28 21:00:00,1647.1099853515625,1675.5,1639.6500244140625,1639.6500244140625,1639.6500244140625,0,-0.004891599076606634,-0.00490360210603917,1580.1172281901042,1580.1172281901042,1581.0310269469803,0.30265353652102994,81.27324656518059
IMOEX.ME,2015-01-29 21:00:00,1640.56005859375,1664.72998046875,1631.6700439453125,1647.68994140625,1647.68994140625,0,0.004903434801619033,0.004891452120092988,1583.6736867804277,1583.6736867804277,1587.3794949907203,0.29382078208181356,81.64678027853404
IMOEX.ME,2015-02-01 21:00:00,1647.739990234375,1655.510009765625,1616.3199462890625,1625.31005859375,1625.31005859375,0,-0.013582581437257213,-0.013675668566562703,1585.7555053710937,1585.7555053710937,1590.9919296195803,0.2959188006491817,77.04023005573958
IMOEX.ME,2015-02-02 21:00:00,1626.6500244140625,1667.510009765625,1626.6500244140625,1654.3599853515625,1654.3599853515625,0,0.017873467652656405,0.017715615366379483,1596.6905029296875,1589.0223853701636,1597.0269825464359,0.29074993819746336,78.71867581753604
IMOEX.ME,2015-02-03 21:00:00,1655.5,1664.56005859375,1643.239990234375,1656.02001953125,1656.02001953125,0,0.0010034298425893873,0.0010029267433865968,1605.4550048828125,1592.0677323774858,1602.6453670211802,0.2773222734622944,78.81398739943477
