ticker,date,open,high,low,close,adj_close,volume
^AEX,2026-09-03 22:00:00,1104.969970703125,1114.6500244140625,1103.81005859375,1113.5,1113.5,49417900
^AEX,2026-09-06 22:00:00,1113.469970703125,1118.2099609375,1110.0999755859375,1115.4200439453125,1115.4200439453125,30894600
^AEX,2026-09-07 22:00:00,1115.47998046875,1121.9000244140625,1114.6099853515625,1116.050048828125,1116.050048828125,41172900
^AEX,2026-09-08 22:00:00,1113.1700439453125,1114.25,1097.7900390625,1101.8900146484375,1101.8900146484375,56013900
^AEX,2026-09-09 22:00:00,1101.3199462890625,1102.510009765625,1091.77001953125,1093.27001953125,1093.27001953125,41756000
^AEX,2026-09-10 22:00:00,1094.18994140625,1103.4599609375,1091.7099609375,1098.760009765625,1098.760009765625,42056800
^AEX,2026-09-13 22:00:00,1096.780029296875,1101.1800537109375,1095.280029296875,1098.3499755859375,1098.3499755859375,46415000
^AEX,2026-09-14 22:00:00,1096.300048828125,1097.1199951171875,1089.4100341796875,1095.8699951171875,1095.8699951171875,48960700
^AEX,2026-09-15 22:00:00,1098.030029296875,1100.6300048828125,1095.510009765625,1096.1400146484375,1096.1400146484375,48388400
^AEX,2026-09-16 22:00:00,1100.3599853515625,1104.02001953125,1098.239990234375,1100.800048828125,1100.800048828125,0
^DJI,2026-09-03 04:00:00,53309.171875,53746.5,53286.1484375,53686.109375,53686.109375,410260000
^DJI,2026-09-04 04:00:00,53584.890625,53635.3515625,53289.87890625,53414.25,53414.25,381130000
^DJI,2026-09-08 04:00:00,53110.44921875,53110.44921875,52721.62109375,52786.0703125,52786.0703125,417970000
^DJI,2026-09-09 04:00:00,52707.8984375,52707.8984375,52314.609375,52380.66015625,52380.66015625,403100000
^DJI,2026-09-10 04:00:00,52291.8515625,52291.8515625,51962.7109375,52064.1015625,52064.1015625,397900000
^DJI,2026-09-11 04:00:00,52204.4609375,52720.23828125,52204.4609375,52573.2890625,52573.2890625,354460000
^DJI,2026-09-14 04:00:00,52750.87890625,52750.87890625,52278.890625,52421.19921875,52421.19921875,442650000
^DJI,2026-09-15 04:00:00,52303.23828125,52336.609375,51875.6484375,52093.109375,52093.109375,374460000
^DJI,2026-09-16 04:00:00,52115.3984375,52173.69921875,51186.671875,51461.8984375,51461.8984375,395270000
^DJI,2026-09-17 04:00:00,51882.53125,51935.96875,51607.6484375,51808.2109375,51808.2109375,224120383
^FCHI,2026-09-03 22:00:00,8266.650390625,8297.0703125,8254.6796875,8278.76953125,8278.76953125,55279700
^FCHI,2026-09-06 22:00:00,8272.759765625,8317.3701171875,8255.7197265625,8306.150390625,8306.150390625,35204400
^FCHI,2026-09-07 22:00:00,8268.1201171875,8320.0498046875,8257.599609375,8317.98046875,8317.98046875,42624800
